DataStructure,Operation,DataSize,Time_Microseconds,Memory_KB
HashMap,Random_Lookup,100,60,16
TreeMap,Random_Lookup,100,31,8
RedBlackTree,Random_Lookup,100,29,8
BPlusTree_8,Random_Lookup,100,54,14
BPlusTree_16,Random_Lookup,100,25,8
BPlusTree_32,Random_Lookup,100,13,7
BPlusTree_128,Random_Lookup,100,8,5
BPlusTree_256,Random_Lookup,100,5,6
HashMap,Random_Lookup,1000,58,99
TreeMap,Random_Lookup,1000,79,99
RedBlackTree,Random_Lookup,1000,136,99
BPlusTree_8,Random_Lookup,1000,187,130
BPlusTree_16,Random_Lookup,1000,121,101
BPlusTree_32,Random_Lookup,1000,59,88
BPlusTree_128,Random_Lookup,1000,38,79
BPlusTree_256,Random_Lookup,1000,36,77
HashMap,Random_Lookup,10000,292,1070
TreeMap,Random_Lookup,10000,540,1084
RedBlackTree,Random_Lookup,10000,439,1084
BPlusTree_8,Random_Lookup,10000,1151,1391
BPlusTree_16,Random_Lookup,10000,776,1102
BPlusTree_32,Random_Lookup,10000,554,971
BPlusTree_128,Random_Lookup,10000,361,880
BPlusTree_256,Random_Lookup,10000,333,865
HashMap,Random_Lookup,100000,2985,12196
TreeMap,Random_Lookup,100000,6856,10933
RedBlackTree,Random_Lookup,100000,6282,10933
BPlusTree_8,Random_Lookup,100000,12300,14003
BPlusTree_16,Random_Lookup,100000,8820,10623
BPlusTree_32,Random_Lookup,100000,6247,9313
BPlusTree_128,Random_Lookup,100000,4506,8392
BPlusTree_256,Random_Lookup,100000,4150,8245
HashMap,Random_Lookup,1000000,26152,106963
TreeMap,Random_Lookup,1000000,85298,104543
RedBlackTree,Random_Lookup,1000000,73445,104541
BPlusTree_8,Random_Lookup,1000000,103663,135242
BPlusTree_16,Random_Lookup,1000000,98207,106313
BPlusTree_32,Random_Lookup,1000000,69247,93154
BPlusTree_128,Random_Lookup,1000000,49015,83933
BPlusTree_256,Random_Lookup,1000000,45686,82516
HashMap,Sequential_Insert,100,3,9
TreeMap,Sequential_Insert,100,4,8
RedBlackTree,Sequential_Insert,100,4,8
BPlusTree_8,Sequential_Insert,100,8,11
BPlusTree_16,Sequential_Insert,100,8,8
BPlusTree_32,Sequential_Insert,100,6,7
BPlusTree_128,Sequential_Insert,100,4,5
BPlusTree_256,Sequential_Insert,100,3,6
HashMap,Sequential_Insert,1000,28,99
TreeMap,Sequential_Insert,1000,54,99
RedBlackTree,Sequential_Insert,1000,52,99
BPlusTree_8,Sequential_Insert,1000,84,130
BPlusTree_16,Sequential_Insert,1000,95,101
BPlusTree_32,Sequential_Insert,1000,48,88
BPlusTree_128,Sequential_Insert,1000,32,79
BPlusTree_256,Sequential_Insert,1000,28,77
HashMap,Sequential_Insert,10000,133,1069
TreeMap,Sequential_Insert,10000,417,1084
RedBlackTree,Sequential_Insert,10000,418,1084
BPlusTree_8,Sequential_Insert,10000,783,1391
BPlusTree_16,Sequential_Insert,10000,772,1102
BPlusTree_32,Sequential_Insert,10000,539,971
BPlusTree_128,Sequential_Insert,10000,358,880
BPlusTree_256,Sequential_Insert,10000,340,865
HashMap,Sequential_Insert,100000,1496,12196
TreeMap,Sequential_Insert,100000,6224,10933
RedBlackTree,Sequential_Insert,100000,6015,10933
BPlusTree_8,Sequential_Insert,100000,8922,14003
BPlusTree_16,Sequential_Insert,100000,8653,11111
BPlusTree_32,Sequential_Insert,100000,6190,9801
BPlusTree_128,Sequential_Insert,100000,4345,8880
BPlusTree_256,Sequential_Insert,100000,4075,8733
HashMap,Sequential_Insert,1000000,14622,111847
TreeMap,Sequential_Insert,1000000,78325,109426
RedBlackTree,Sequential_Insert,1000000,73836,109426
BPlusTree_8,Sequential_Insert,1000000,102728,140127
BPlusTree_16,Sequential_Insert,1000000,96804,111196
BPlusTree_32,Sequential_Insert,1000000,69401,98104
BPlusTree_128,Sequential_Insert,1000000,50205,88887
BPlusTree_256,Sequential_Insert,1000000,46074,87400
HashMap,Random_Insert,100,5,10
TreeMap,Random_Insert,100,38,10
RedBlackTree,Random_Insert,100,20,10
BPlusTree_8,Random_Insert,100,143,12
BPlusTree_16,Random_Insert,100,83,9
BPlusTree_32,Random_Insert,100,46,8
BPlusTree_128,Random_Insert,100,33,7
BPlusTree_256,Random_Insert,100,34,8
HashMap,Random_Insert,1000,89,108
TreeMap,Random_Insert,1000,203,108
RedBlackTree,Random_Insert,1000,75,108
BPlusTree_8,Random_Insert,1000,270,138
BPlusTree_16,Random_Insert,1000,218,109
BPlusTree_32,Random_Insert,1000,203,97
BPlusTree_128,Random_Insert,1000,254,87
BPlusTree_256,Random_Insert,1000,219,86
HashMap,Random_Insert,10000,138,1078
TreeMap,Random_Insert,10000,654,1092
RedBlackTree,Random_Insert,10000,615,1092
BPlusTree_8,Random_Insert,10000,1110,1399
BPlusTree_16,Random_Insert,10000,1202,1110
BPlusTree_32,Random_Insert,10000,1097,980
BPlusTree_128,Random_Insert,10000,2775,887
BPlusTree_256,Random_Insert,10000,2461,876
HashMap,Random_Insert,100000,1639,12205
TreeMap,Random_Insert,100000,8105,10942
RedBlackTree,Random_Insert,100000,7672,10942
BPlusTree_8,Random_Insert,100000,12569,13961
BPlusTree_16,Random_Insert,100000,11084,11119
BPlusTree_32,Random_Insert,100000,9451,9809
BPlusTree_128,Random_Insert,100000,18263,8889
BPlusTree_256,Random_Insert,100000,9241,8740
HashMap,Random_Insert,1000000,32480,111856
TreeMap,Random_Insert,1000000,156517,109435
RedBlackTree,Random_Insert,1000000,142021,109435
BPlusTree_8,Random_Insert,1000000,234738,134902
BPlusTree_16,Random_Insert,1000000,269920,108458
BPlusTree_32,Random_Insert,1000000,287102,97734
